scenario,condition,seed,seconds,wall_seconds,final_cells,births,divisions,deaths,max_generation,mean_margin_over_time,final_margin,mean_atp,mean_damage,mean_loop,corpse_material,corpse_toxic_material,necrophagy_mass,necrotoxin_uptake,edna_fragments,edna_material,hgt_attempts,hgt_integrations,hgt_digestions,hgt_novel_path_events,recipient_novel_path,first_path_age,recipient_genome_length,mean_genome_length,max_genome_length,mobile_exports,mobile_carriers,new_mobile_carriers,ecology_atp_total,cells_with_foreign_information,total_material,matter_residual,max_abs_matter_residual
corpse_resource,toxic_full,202,45.0,2.7301547527313232,1,0,0,1,0,0.5626897214098052,0.3208718161466143,0.0006324797177573819,0.02671580169929403,0.03968686592550576,1.2492407048596588,0.11597963358224044,1.839416620924587,0.07037217922958272,17,0.3936,0,0,0,0,1,,480,480.0,480,0,0,0,0.40467165660340926,0,10.127216078586288,-7.070884127102772e-07,7.070884127102772e-07
corpse_resource,toxic_full,303,45.0,2.780548572540283,1,0,0,1,0,0.5493437379594378,0.30344814267756426,0.0,0.02266585193025882,0.028251960014762687,0.8196232174774815,0.08997740533026191,2.362793286190124,0.08749437494405558,14,0.38048,1,1,0,0,1,,496,496.0,496,0,0,0,0.5358145229618266,1,9.886024360028516,-7.708119476035336e-07,7.708119476035336e-07
corpse_resource,toxic_no_detox,101,45.0,2.673466920852661,1,0,0,1,0,0.5448893295610692,0.2937419298349048,0.0,0.03631614581676593,0.023803860827145182,1.0164058867487813,0.08902165110290149,2.1190799865502927,0.13836040457639792,12,0.34112,2,0,2,0,1,,480,480.0,480,0,0,0,0.49307759704106485,0,10.0235278262495,-6.238228156263403e-07,6.238228156263403e-07
corpse_resource,toxic_no_detox,202,45.0,2.6786820888519287,1,0,0,1,0,0.5644512390679127,0.2517304709081315,0.0,0.0254799056221093,0.00920748371633813,0.7464630125241711,0.07491027390989723,2.425170724062837,0.15258558943796194,1,0.38622,0,0,0,0,1,,480,480.0,480,0,0,0,0.5335375592938246,0,9.796461011631203,-6.329630117818397e-07,6.329630117818397e-07
corpse_resource,toxic_no_detox,303,45.0,2.76328182220459,1,0,0,1,0,0.5404458627582852,0.3173416205862591,0.0,0.03218373607499428,0.037838036989419115,0.5740125720917042,0.0649287141824954,2.6693454861908625,0.16230197804522106,15,0.38048,1,1,0,0,1,,496,496.0,496,0,0,0,0.6032560069619903,1,10.312765573710147,-7.309302763047754e-07,7.309302763047754e-07
corpse_resource,toxic_no_nutrition,101,45.0,2.8370859622955322,1,0,0,1,0,0.45469630216901963,0.26603419238705067,0.0,0.019633570352835646,0.012846971360131907,2.002157761638332,0.13564222448088908,0.0,0.0,17,0.38048,1,1,0,0,1,,496,496.0,496,0,0,0,0.016,1,10.12661463121571,-7.450977861367392e-07,7.450977861367392e-07
corpse_resource,toxic_no_nutrition,202,45.0,2.803269624710083,1,0,0,1,0,0.43549860788949246,0.4982485197429769,0.011998591644531991,0.02402080816634234,0.07898878038734783,2.0081819060346495,0.13564222448088917,0.0,0.0,17,0.3936,0,0,0,0,1,,480,480.0,480,0,0,0,0.0,0,9.969779868397026,-3.7266259056423223e-07,3.7266259056423223e-07
corpse_resource,toxic_no_nutrition,303,45.0,2.7740163803100586,1,0,0,1,0,0.4740815685207388,0.6395673926699662,0.027856726245473674,0.014930320733028715,0.16786822057879824,2.0202407605476003,0.13564222448088906,0.0,0.0,14,0.3936,0,0,0,0,1,,480,480.0,480,0,0,0,0.0,0,9.971227265149295,-6.083322094951882e-07,6.083322094951882e-07
corpse_hgt,hgt_full,101,25.0,1.4853579998016357,1,0,0,1,0,0.9123576748268767,0.7122539298972426,0.039733445135453176,0.0013707699026078884,0.23091424994736426,0.0,0.0,0.2173362161109574,0.00548569604049307,0,0.0,6,5,1,1,1,0.8333333333333336,544,544.0,544,0,0,0,0.13546196754441078,1,14.04010545712487,-2.871259548342664e-06,2.871259548342664e-06
corpse_hgt,hgt_full,202,25.0,1.4712715148925781,1,0,0,1,0,0.9159061060332307,0.6457573522100727,0.025833673473696805,0.0014976826754020752,0.17773576636864774,0.0,0.0,0.2969644551278893,0.005477841616350045,0,0.0,6,4,2,1,1,0.8888888888888892,528,528.0,528,0,0,0,0.14370018012813557,1,13.590003439152188,-3.0674920203921374e-06,3.0674920203921374e-06
corpse_hgt,hgt_full,303,25.0,1.4896817207336426,1,0,0,1,0,0.9155064388485402,0.7306175933554158,0.041758722482314325,0.0014070052285893222,0.2597080308342517,0.01943673110282848,0.0,0.24844714056467923,0.0054862896080411635,0,0.0,6,5,1,1,1,0.05555555555555555,544,544.0,544,0,0,0,0.14230637092422938,1,13.823803185001452,-3.601746923820315e-06,3.601746923820315e-06
corpse_hgt,hgt_no_edna,101,25.0,1.5144867897033691,1,0,0,1,0,0.9019743508927995,0.7075320238573463,0.03888901333345623,0.001653124639287862,0.2256066443478545,0.0,0.0,0.3416700618253638,0.0062940296976630615,0,0.0,0,0,0,0,0,,464,464.0,464,0,0,0,0.07516741360158004,0,13.583649630747772,-2.774863713028708e-06,2.774863713028708e-06
corpse_hgt,hgt_no_edna,202,25.0,1.5179228782653809,1,0,0,1,0,0.9214045423249982,0.26628276164793097,0.0,0.0020410077598272845,0.011984824574096364,0.0,0.0,0.299433015845674,0.005978388557894847,0,0.0,0,0,0,0,0,,464,464.0,464,0,0,0,0.06587526348604834,0,13.53671596779656,-3.3950399327409286e-06,3.3950399327409286e-06
corpse_hgt,hgt_no_edna,303,25.0,1.5212688446044922,1,0,0,1,0,0.89679121672208,0.7242890659287629,0.04168657115913891,0.0018558471786360774,0.24732533263468534,0.0,0.0,0.2566147553137094,0.005733059172013753,0,0.0,0,0,0,0,0,,464,464.0,464,0,0,0,0.056455246169016024,0,13.721713349498886,-3.42754102611309e-06,3.42754102611309e-06
corpse_hgt,hgt_no_recombination,101,25.0,1.5088443756103516,1,0,0,1,0,0.9255551742701638,0.7288492229121244,0.04177139675380347,0.0013899669861214305,0.25589446447574155,0.02283097936728109,0.0,0.3125527541001455,0.005857279319788464,0,0.0,6,0,6,0,0,,464,464.0,464,0,0,0,0.10908160590203198,0,13.720219757847769,-3.4439493745708205e-06,3.4439493745708205e-06
corpse_hgt,hgt_no_recombination,202,25.0,1.5114915370941162,1,0,0,1,0,0.8971378132930148,0.6203953336161302,0.021985296713867307,0.0014650878532641066,0.15917859699426384,0.0,0.0,0.3273263621471691,0.006007133448483236,0,0.0,6,0,6,0,0,,464,464.0,464,0,0,0,0.11233179967237729,0,13.75489524397643,-3.4661935224278295e-06,3.4661935224278295e-06
corpse_hgt,hgt_no_recombination,303,25.0,1.5014851093292236,1,0,0,1,0,0.9181651187114244,0.5511222775831832,0.012732828567840656,0.0018978398555262322,0.12504051152849155,0.021847849125411534,0.0,0.20576801475218548,0.005294631968294286,0,0.0,6,0,6,0,0,,464,464.0,464,0,0,0,0.08558896324548075,0,13.916847342597674,-3.2168693753220623e-06,3.2168693753220623e-06
corpse_hgt,hgt_no_competence,101,25.0,1.5558700561523438,1,0,0,1,0,0.8830789487329791,0.546709222553154,0.010825621234990436,0.003272921317321581,0.1385286319696981,0.0,0.0,0.20947883394608172,0.0052786466829953934,6,0.07872,0,0,0,0,0,,464,464.0,464,0,0,0,0.046085343468137925,0,13.718298197778068,-3.5802315814237318e-06,3.5802315814237318e-06
corpse_hgt,hgt_no_competence,202,25.0,1.5621082782745361,1,0,0,1,0,0.9466997657240586,0.6511025043077477,0.0266640600295685,0.0014041957664509739,0.18203509447576732,0.0,0.0,0.30756526325005806,0.00531905746932569,6,0.07872,0,0,0,0,0,,464,464.0,464,0,0,0,0.06766435791501277,0,13.578442596703798,-3.4597129836555496e-06,3.4597129836555496e-06
corpse_hgt,hgt_no_competence,303,25.0,1.5681848526000977,1,0,0,1,0,0.9420812298681773,0.7187507895349101,0.04005833815213661,0.0013773153549337972,0.2424376189521158,0.0,0.0,0.30143199410561883,0.005650915484138192,6,0.07872,0,0,0,0,0,,464,464.0,464,0,0,0,0.06631503870323613,0,13.860266208902324,-3.8486718292318756e-06,3.8486718292318756e-06
