trial_type,seed_set,condition,control,seed,wall_seconds,cells,cells_control,cells_treatment,deaths,divisions,final_margin_control,final_margin_difference,final_margin_treatment,final_mass_residual,finite,finite_control,finite_treatment,margin_auc_control,margin_auc_difference,margin_auc_treatment,mass_residual_control,mass_residual_treatment,mean_atp,mean_damage,mean_margin_over_life,p2_cell_prune_count,p2_cue_episode_updates,p2_cue_toxin_total,p2_ligand_sensor_values,p2_neural_atp_total,p2_neural_signal_total,p2_nonreward_uptake_total,p2_plasticity_updates,p2_prediction_error,p2_prediction_rms,p2_predictor_updates,p2_recurrent_messages,p2_reward_uptake_total,p2_rewire_count,p2_wear_material_total,plasticity_control,plasticity_treatment,post_switch_mean_margin,pre_switch_mean_margin,predictor_control,predictor_treatment,recurrent_messages_control,recurrent_messages_treatment,reward_gain_control,reward_gain_difference,reward_gain_treatment,toxin_gain_control,toxin_gain_difference,toxin_gain_treatment,uptake_during_trial
independent,development,fixed,,303,29.370076417922974,1,,,0,0,,,,-2.042998435669574e-05,1,,,,,,,,0.5712416598061403,0.009680296482646325,0.8771269518693997,0,0,0.20649199176223226,"[0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.0903267698912456,0.027881801918111918,0.5339146446734657,0,0.010418114836340461,0.009560825601762392,0,1134,8.639216463393549,0,0.004140567842150006,,,0.7543209211368944,0.9819737072527669,,,,,,,,,,,9.173150492231404
independent,development,full,,101,32.902565002441406,1,,,0,0,,,,-1.7030346633362115e-05,1,,,,,,,,0.5329189199911102,0.005647739759928751,0.8534631872842151,0,26,0.20442713538960214,"[-0.09660959787921457,-0.09662741656849204,-0.2125864916075325,-0.1587539368772397,0.09002317031750373,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.09195256680956702,0.027754974132584147,0.5373599063756037,9008,0.006070001373312374,0.003614506911233622,14256,1484,8.128848613042544,3,0.003974079106659103,,,0.7652008162412557,0.928817981923366,,,,,,,,,,,8.666233621534134
independent,development,full,,202,20.848453760147095,1,,,0,0,,,,-2.4481549157684412e-05,1,,,,,,,,0.0,0.0648275599929497,0.47507907952402606,0,22,0.10036287396461657,"[-0.06658060694710606,-0.06658596094766249,-0.02644755378672689,-0.06660718213582414,0.09004869284320638,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.04031826058475428,0.015713509591763725,0.16002674045368542,5800,0.006895996792180396,0.006983767391419224,14256,908,1.4456497081618545,3,0.0007450340539364674,,,0.5030795676972123,0.4511734104245683,,,,,,,,,,,1.605710290987472
independent,development,full,,303,34.90402126312256,1,,,0,0,,,,-1.7678671298426707e-05,1,,,,,,,,0.5553341147904405,0.0038233276112331145,0.8942777282198955,0,26,0.15411082654955569,"[-0.0924505802627755,-0.09247145845209448,-0.18294447128315922,-0.09436682972233197,0.09016078364870472,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.09084045024409548,0.027883036929923822,0.5075800386792069,9096,0.007273421592604516,0.00698114044652121,14256,1348,8.28770595314733,3,0.003966431763412589,,,0.7948813126046691,0.9791383137451503,,,,,,,,,,,8.795305375990926
independent,development,no_plasticity,,101,31.93201494216919,1,,,0,0,,,,-1.9370809084762186e-05,1,,,,,,,,0.3258851833330815,0.015535449484839245,0.8118566416404261,0,0,0.16544652368881002,"[0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.08858892969463793,0.027050988439974565,0.4903849794777292,0,0.007313578492264813,0.004392178443347876,14256,1340,7.392624857704097,0,0.0036040447343472694,,,0.6758874041159417,0.9279416034404238,,,,,,,,,,,7.883034939297813
independent,development,no_plasticity,,202,32.42116117477417,1,,,0,0,,,,-2.4007748393728434e-05,1,,,,,,,,0.0,0.06611723471828834,0.47690290514085243,0,0,0.10146239344926755,"[0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.040616276127989626,0.015769092236135394,0.16072974233938656,0,0.007149236952411453,0.006939204276995357,14256,862,1.433323949098332,0,0.000733533847867464,,,0.5070373064355558,0.4511753884845102,,,,,,,,,,,1.594100708599189
independent,development,no_plasticity,,303,31.66655969619751,1,,,0,0,,,,-1.9743609275479912e-05,1,,,,,,,,0.6509115621974271,0.004441328492793483,0.8881011144359664,0,0,0.15545268963352504,"[0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.09007537685449699,0.027794520327159216,0.49806975702755624,0,0.007233460601854069,0.008290302800474058,14256,1178,8.344089776564154,0,0.003852118523436736,,,0.7817851756360334,0.9788693052342614,,,,,,,,,,,8.8421789177561
independent,development,no_prediction,,101,35.17747473716736,1,,,0,0,,,,-1.7383384250280187e-05,1,,,,,,,,0.0,0.05483054160393566,0.762828390572261,0,26,0.2189576241190877,"[-0.03741111079720429,-0.03633120104478411,-0.2768416245033778,-0.07447135037307405,0.09005193994168577,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.07391345023730185,0.023747937393232034,0.5542258700769047,7072,0.017509220103990634,0.01906396307666092,0,1074,6.053204247165822,3,0.0030338893696926395,,,0.5642917058545185,0.9323308742293253,,,,,,,,,,,6.607455219358714
independent,development,no_prediction,,202,34.55416798591614,1,,,0,0,,,,-2.076926551097813e-05,1,,,,,,,,0.0,0.06881893414325249,0.34834311423668723,0,19,0.017535484851569954,"[-0.04924286924509322,-0.04923606654652715,-0.08010327920098148,0.0900013643297276,0.0899957210649301,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.018034866887026477,0.009341013031510146,0.06052998491922125,3832,0.015168003759149897,0.017216198286601637,0,387,0.2797244978380487,3,0.00011872590621484505,,,0.26058286969087613,0.4232692138540676,,,,,,,,,,,0.3403772978547692
independent,development,no_prediction,,303,18.28702163696289,1,,,0,0,,,,-1.9060965374961825e-05,1,,,,,,,,0.6257763785623695,0.007267055529605017,0.8829044211932534,0,26,0.1601066555882843,"[-0.09479335385618276,-0.09479730307074972,-0.09033930276869519,-0.06795847850784884,0.09014204443934865,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.09017495230667684,0.027742416545487238,0.5311794910492356,9136,0.010041180084808164,0.00787914500860501,0,1302,8.477012440964316,3,0.004162371404925329,,,0.767431955088888,0.9814900796901864,,,,,,,,,,,9.00821131617794
independent,development,no_recurrence,,101,37.47454071044922,1,,,0,0,,,,-1.8258161631479197e-05,1,,,,,,,,0.015496478422083406,0.04099639171296411,0.7720623517455725,0,27,0.20951367694658418,"[-0.06496839879053547,-0.06474564983149761,-0.19591224936069826,-0.19047533108933237,0.0901104816688359,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.06618266223439652,0.02246547187703382,0.5484238908898477,7096,0.009392481686745082,0.008363668149501588,14256,1171,6.053945637899818,3,0.003126262753579491,,,0.5873912024527203,0.9297270095867408,,,,,,,,,,,6.602394630911961
independent,development,no_recurrence,,202,30.955770254135132,1,,,0,0,,,,-2.1304099881547245e-05,1,,,,,,,,0.0,0.06030415355357499,0.3815256660863977,0,20,0.03511761177584977,"[-0.07543160083320884,-0.07050765014775529,-0.07708000050862795,0.06338773731249958,0.08994677715167652,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.026569248493274203,0.012287703567252055,0.08155364354398577,3952,0.005251981841522723,0.005217043098400366,14256,605,0.7169175784288605,3,0.000309681747621697,,,0.29944624320397145,0.4516017130169147,,,,,,,,,,,0.7985887922929122
independent,development,no_recurrence,,303,33.52522110939026,1,,,0,0,,,,-1.5470802711803344e-05,1,,,,,,,,0.01363181830317455,0.02225311120747174,0.8491196989753081,0,26,0.21186791393971802,"[-0.1234176742908808,-0.1234394166970113,-0.1716719718081521,-0.14754113287894727,0.09004613539015136,0.08999999999999998,0.08999999999999998,0.08999999999999998]",0.07143629956146351,0.02415782312520423,0.5346801263984446,8672,0.00979131532429166,0.010455874226920094,14256,952,7.61128771654917,3,0.0036930853852181647,,,0.695854679649389,0.9799710903462532,,,,,,,,,,,8.145987227112208
independent,development,none,,101,7.733714580535889,1,,,0,0,,,,-2.8758406191542463e-05,1,,,,,,,,0.009437252625033385,0.025930515383840377,0.6459409955564593,0,0,0.1312362698803747,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.2970235138715362,0,0.0,0.0,0,0,3.343701912028003,0,0.0,,,0.6058626587658432,0.6801582367505056,,,,,,,,,,,3.640784905745825
independent,development,none,,202,13.023365259170532,1,,,0,0,,,,-1.9359861042289594e-05,1,,,,,,,,0.0,0.0778996830808627,0.3740790428735355,0,0,0.0033110263545340943,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.05341412320823653,0,0.0,0.0,0,0,0.10661360335331609,0,0.0,,,0.23882545387989246,0.48955301329138295,,,,,,,,,,,0.16014079689059893
independent,development,none,,303,7.5692362785339355,1,,,0,0,,,,-3.203366435045041e-05,1,,,,,,,,0.00751197075787677,0.01837345909622882,0.6274828011283596,0,0,0.0620954486676655,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.18674660325453044,0,0.0,0.0,0,0,2.649813765556184,0,0.0,,,0.49193202386848955,0.7432104987065593,,,,,,,,,,,2.836604348209484
